Name,Year of birth,party,State
Andrea Lindholz,1970,CSU,Bavaria
Christian Lindner,1979,FDP,North Rhine-Westphalia
Tobias Lindner,1982,Greens,Rhineland-Palatinate
Michael Georg Link,1963,FDP,Baden-Württemberg
Carsten Linnemann,1977,CDU,North Rhine-Westphalia
Patricia Lips,1963,CDU,Hesse
Nikolas Löbel,1986,CDU,Baden-Württemberg
Bernhard Loos,1955,CSU,Bavaria
Gesine Lötzsch,1961,The Left,Berlin
Rüdiger Lucassen,1951,AfD,North Rhine-Westphalia
Jan-Marco Luczak,1975,CDU,Berlin
Daniela Ludwig,1975,CSU,Bavaria
Saskia Ludwig,1975,CDU,Brandenburg
Kirsten Lühmann,1964,SPD,Lower Saxony
Oliver Luksic,1979,FDP,Saarland
Thomas Lutze,1969,The Left,Saarland
Karin Maag,1962,CDU,Baden-Württemberg
Heiko Maas,1966,SPD,Saarland
Isabel Mackensen,1986,SPD,Rhineland-Palatinate
Frank Magnitz,1952,AfD,Bremen
Yvonne Magwas,1979,CDU,Saxony
Jens Maier,1962,AfD,Saxony
Lothar Maier,1944,AfD,Baden-Württemberg
Thomas de Maizière,1954,CDU,Saxony
Birgit Malsack-Winkemann,1964,AfD,Berlin
Gisela Manderla,1958,CDU,North Rhine-Westphalia
Astrid Mannes,1967,CDU,Hesse
Till Mansmann,1968,FDP,Hesse
Caren Marks,1963,SPD,Lower Saxony
Matern von Marschall,1962,CDU,Baden-Württemberg
Jürgen Martens,1959,FDP,Saxony
Dorothee Martin,1978,SPD,Hamburg
Hans-Georg von der Marwitz,1961,CDU,Brandenburg
Fabio De Masi,1980,The Left,Hamburg
Katja Mast,1971,SPD,Baden-Württemberg
Christoph Matschie,1961,SPD,Thuringia
Andreas Mattfeldt,1969,CDU,Lower Saxony
Hilde Mattheis,1954,SPD,Baden-Württemberg
Stephan Mayer,1973,CSU,Bavaria
Pascal Meiser,1975,The Left,Berlin
Michael Meister,1961,CDU,Hesse
Angela Merkel,1954,CDU,Mecklenburg-Vorpommern
Jan Metzler,1981,CDU,Rhineland-Palatinate
Christoph Meyer,1975,FDP,Berlin
Corinna Miazga,1983,AfD,Bavaria
Hans Michelbach,1949,CSU,Bavaria
Mathias Middelberg,1964,CDU,Lower Saxony
Matthias Miersch,1968,SPD,Lower Saxony
Mario Mieruch,1975,LKR (ex AfD),North Rhine-Westphalia
Irene Mihalic,1976,Greens,North Rhine-Westphalia
Klaus Mindrup,1964,SPD,Berlin
Susanne Mittag,1958,SPD,Lower Saxony
Amira Mohamed Ali,1980,The Left,Lower Saxony
Cornelia Möhring,1960,The Left,Schleswig-Holstein
Falko Mohrs,1984,SPD,Lower Saxony
Claudia Moll,1968,SPD,North Rhine-Westphalia
Siemtje Möller,1983,SPD,Lower Saxony
Dietrich Monstadt,1957,CDU,Mecklenburg-Vorpommern
Karsten Möring,1949,CDU,North Rhine-Westphalia
Elisabeth Motschmann,1952,CDU,Bremen
Niema Movassat,1984,The Left,North Rhine-Westphalia
Andreas Mrosek,1958,AfD,Saxony-Anhalt
Alexander Müller,1969,FDP,Hesse
Axel Müller,1963,CDU,Baden-Württemberg
Bettina Müller,1959,SPD,Hesse
Carsten Müller,1970,CDU,Lower Saxony
Claudia Müller,1981,Greens,Mecklenburg-Vorpommern
Detlef Müller,1964,SPD,Saxony
Gerd Müller,1955,CSU,Bavaria
Hansjörg Müller,1968,AfD,Bavaria
Norbert Müller,1986,The Left,Brandenburg
Sepp Müller,1989,CDU,Saxony-Anhalt
Stefan Müller,1975,CSU,Bavaria
Roman Müller-Böhm,1992,FDP,North Rhine-Westphalia
Beate Müller-Gemmeke,1960,Greens,Baden-Württemberg
Frank Müller-Rosentritt,1982,FDP,Saxony
Michelle Müntefering,1980,SPD,North Rhine-Westphalia
Volker Münz,1964,AfD,Baden-Württemberg
Sebastian Münzenmaier,1989,AfD,Rhineland-Palatinate
Rolf Mützenich,1959,SPD,North Rhine-Westphalia
Zaklin Nastic,1980,The Left,Hamburg
Ingrid Nestle,1977,Greens,Schleswig-Holstein
Alexander Neu,1969,The Left,North Rhine-Westphalia
Christoph Neumann,1964,AfD,Saxony
Martin Neumann,1956,FDP,Brandenburg
Andreas Nick,1967,CDU,Rhineland-Palatinate
Petra Nicolaisen,1965,CDU,Schleswig-Holstein
Dietmar Nietan,1964,SPD,North Rhine-Westphalia
Ulli Nissen,1959,SPD,Hesse
Matthias Nölke,1980,FDP,Hesse
Michaela Noll,1959,CDU,North Rhine-Westphalia
Jan Nolte,1988,AfD,Hesse
Thomas Nord,1957,The Left,Brandenburg
Konstantin von Notz,1971,Greens,Schleswig-Holstein
Omid Nouripour,1975,Greens,Hesse
Georg Nüßlein,1969,CSU,Bavaria
Ulrich Oehme,1960,AfD,Saxony
Wilfried Oellers,1975,CDU,North Rhine-Westphalia
Thomas Oppermann,1954,SPD,Lower Saxony
Josephine Ortleb,1986,SPD,Saarland
Florian Oßner,1980,CSU,Bavaria
Friedrich Ostendorff,1953,Greens,North Rhine-Westphalia
Josef Oster,1971,CDU,Rhineland-Palatinate
Henning Otte,1968,CDU,Lower Saxony
Gerold Otten,1955,AfD,Bavaria
Cem Özdemir,1965,Greens,Baden-Württemberg
Mahmut Özdemir,1987,SPD,North Rhine-Westphalia
Aydan Özo_uz,1967,SPD,Hamburg
Ingrid Pahlmann,1957,CDU,Lower Saxony
Sylvia Pantel,1961,CDU,North Rhine-Westphalia
Markus Paschke,1973,SPD,Lower Saxony
Frank Pasemann,1960,AfD,Saxony-Anhalt
Martin Patzelt,1947,CDU,Brandenburg
Petra Pau,1963,The Left,Berlin
Lisa Paus,1968,Greens,Berlin
Sören Pellmann,1977,The Left,Saxony
Victor Perli,1982,The Left,Lower Saxony
Tobias Peterka,1982,AfD,Bavaria
Christian Petry,1965,SPD,Saarland
Frauke Petry,1975,Independent (ex AfD),Saxony
Joachim Pfeiffer,1967,CDU,Baden-Württemberg
Tobias Pflüger,1965,The Left,Baden-Württemberg
Detlev Pilger,1955,SPD,Rhineland-Palatinate
Stephan Pilsinger,1987,CSU,Bavaria
Christoph Ploß,1985,CDU,Hamburg
Paul Podolay,1946,AfD,Bavaria
Jürgen Pohl,1964,AfD,Thuringia
Filiz Polat,1978,Greens,Lower Saxony
Eckhard Pols,1962,CDU,Lower Saxony
Sabine Poschmann,1968,SPD,North Rhine-Westphalia
Achim Post,1959,SPD,North Rhine-Westphalia
Florian Post,1981,SPD,Bavaria
Florian Pronold,1972,SPD,Bavaria
Stephan Protschka,1977,AfD,Bavaria
Sascha Raabe,1968,SPD,Hesse
Martin Rabanus,1971,SPD,Hesse
Thomas Rachel,1962,CDU,North Rhine-Westphalia
Kerstin Radomski,1974,CDU,North Rhine-Westphalia
Alexander Radwan,1964,CSU,Bavaria
Alois Rainer,1965,CSU,Bavaria
Peter Ramsauer,1954,CSU,Bavaria
Mechthild Rawert,1957,SPD,Berlin
Eckhardt Rehberg,1954,CDU,Mecklenburg-Vorpommern
Martin Reichardt,1969,AfD,Saxony-Anhalt
Hagen Reinhold,1978,FDP,Mecklenburg-Vorpommern
Ingrid Remmers,1965,The Left,North Rhine-Westphalia
Martin Renner,1954,AfD,North Rhine-Westphalia
Martina Renner,1967,The Left,Thuringia
Roman Reusch,1954,AfD,Brandenburg
Bernd Reuther,1971,FDP,North Rhine-Westphalia
Daniela De Ridder,1962,SPD,Lower Saxony
Lothar Riebsamen,1957,CDU,Baden-Württemberg
Josef Rief,1960,CDU,Baden-Württemberg
Bernd Riexinger,1955,The Left,Baden-Württemberg
Andreas Rimkus,1962,SPD,North Rhine-Westphalia
Sönke Rix,1975,SPD,Schleswig-Holstein
Dennis Rohde,1986,SPD,Lower Saxony
Johannes Röring,1959,CDU,North Rhine-Westphalia
Martin Rosemann,1976,SPD,Baden-Württemberg
René Röspel,1964,SPD,North Rhine-Westphalia
Ernst Dieter Rossmann,1951,SPD,Schleswig-Holstein
Tabea Rößner,1966,Greens,Rhineland-Palatinate
Claudia Roth,1955,Greens,Bavaria
Michael Roth,1970,SPD,Hesse
Norbert Röttgen,1965,CDU,North Rhine-Westphalia
Manuela Rottmann,1972,Greens,Bavaria
Stefan Rouenhoff,1978,CDU,North Rhine-Westphalia
Erwin Rüddel,1955,CDU,Rhineland-Palatinate
Corinna Rüffer,1975,Greens,Rhineland-Palatinate
Albert Rupprecht,1968,CSU,Bavaria
Susann Rüthrich,1977,SPD,Saxony
Bernd Rützel,1968,SPD,Bavaria
Sarah Ryglewski,1983,SPD,Bremen
Johann Saathoff,1967,SPD,Lower Saxony
Manuel Sarrazin,1982,Greens,Hamburg
Thomas Sattelberger,1949,FDP,Bavaria
Stefan Sauer,1966,CDU,Hesse
Christian Sauter,1980,FDP,North Rhine-Westphalia
Anita Schäfer,1951,CDU,Rhineland-Palatinate
Axel Schäfer,1952,SPD,North Rhine-Westphalia
Frank Schäffler,1968,FDP,North Rhine-Westphalia
Wolfgang Schäuble,1942,CDU,Baden-Württemberg
Ulle Schauws,1966,Greens,North Rhine-Westphalia
Nina Scheer,1971,SPD,Schleswig-Holstein
Andreas Scheuer,1974,CSU,Bavaria
Marianne Schieder,1962,SPD,Bavaria
Udo Schiefner,1959,SPD,North Rhine-Westphalia
Ulrike Schielke-Ziesing,1969,AfD,Mecklenburg-Vorpommern
Jana Schimke,1979,CDU,Brandenburg
Wieland Schinnenburg,1958,FDP,Hamburg
Tankred Schipanski,1976,CDU,Thuringia
Robby Schlund,1967,AfD,Thuringia
Nils Schmid,1973,SPD,Baden-Württemberg
Christian Schmidt,1957,CSU,Bavaria
Dagmar Schmidt,1973,SPD,Hesse
Frithjof Schmidt,1953,Greens,North Rhine-Westphalia
Stefan Schmidt,1981,Greens,Bavaria
Ulla Schmidt,1949,SPD,North Rhine-Westphalia
Uwe Schmidt,1966,SPD,Bremen
Claudia Schmidtke,1966,CDU,Schleswig-Holstein
Carsten Schneider,1976,SPD,Thuringia
Jörg Schneider,1964,AfD,North Rhine-Westphalia
Charlotte Schneidewind-Hartnagel,1953,Greens,Baden-Württemberg
Patrick Schnieder,1968,CDU,Rhineland-Palatinate
Nadine Schön,1983,CDU,Saarland
Johannes Schraps,1983,SPD,Lower Saxony
Eva Schreiber,1958,The Left,Bavaria
Felix Schreiner,1986,CDU,Baden-Württemberg
Michael Schrodi,1977,SPD,Bavaria
Ursula Schulte,1952,SPD,North Rhine-Westphalia
Martin Schulz,1955,SPD,North Rhine-Westphalia
Swen Schulz,1968,SPD,Berlin
Uwe Schulz,1961,AfD,Hesse
Kordula Schulz-Asche,1956,Greens,Hesse
Klaus-Peter Schulze,1954,CDU,Brandenburg
Uwe Schummer,1957,CDU,North Rhine-Westphalia
Armin Schuster,1961,CDU,Baden-Württemberg
Frank Schwabe,1970,SPD,North Rhine-Westphalia
Stefan Schwartze,1974,SPD,North Rhine-Westphalia
Andreas Schwarz,1965,SPD,Bavaria
Rita Schwarzelühr-Sutter,1962,SPD,Baden-Württemberg
Torsten Schweiger,1968,CDU,Saxony-Anhalt
Matthias Seestern-Pauly,1984,FDP,Lower Saxony
Detlef Seif,1962,CDU,North Rhine-Westphalia
Thomas Seitz,1967,AfD,Baden-Württemberg
Johannes Selle,1956,CDU,Thuringia
Reinhold Sendker,1952,CDU,North Rhine-Westphalia
Patrick Sensburg,1971,CDU,North Rhine-Westphalia
Martin Sichert,1980,AfD,Bavaria
Bernd Siebert,1949,CDU,Hesse
Thomas Silberhorn,1968,CSU,Bavaria
Björn Simon,1981,CDU,Hesse
Frank Sitta,1978,FDP,Saxony-Anhalt
Petra Sitte,1960,The Left,Saxony-Anhalt
Judith Skudelny,1975,FDP,Baden-Württemberg
Hermann Otto Solms,1940,FDP,Hesse
Evrim Sommer,1971,The Left,Berlin
Tino Sorge,1975,CDU,Saxony-Anhalt
Jens Spahn,1980,CDU,North Rhine-Westphalia
Detlev Spangenberg,1944,AfD,Saxony
Dirk Spaniel,1971,AfD,Baden-Württemberg
Rainer Spiering,1956,SPD,Lower Saxony
René Springer,1979,AfD,Brandenburg
Svenja Stadler,1976,SPD,Lower Saxony
Katrin Staffler,1981,CSU,Bavaria
Martina Stamm-Fibich,1965,SPD,Bavaria
Bettina Stark-Watzinger,1968,FDP,Hesse
Frank Steffel,1966,CDU,Berlin
Sonja Steffen,1963,SPD,Mecklenburg-Vorpommern
Wolfgang Stefinger,1985,CSU,Bavaria
Albert Stegemann,1976,CDU,Lower Saxony
Andreas Steier,1972,CDU,Rhineland-Palatinate
Mathias Stein,1970,SPD,Schleswig-Holstein
Peter Stein,1968,CDU,Mecklenburg-Vorpommern
Sebastian Steineke,1973,CDU,Brandenburg
Johannes Steiniger,1987,CDU,Rhineland-Palatinate
Kersten Steinke,1958,The Left,Thuringia
Christian von Stetten,1970,CDU,Baden-Württemberg
Dieter Stier,1964,CDU,Saxony-Anhalt
Beatrix von Storch,1971,AfD,Berlin
Gero Storjohann,1958,CDU,Schleswig-Holstein
Stephan Stracke,1974,CSU,Bavaria
Marie-Agnes Strack-Zimmermann,1958,FDP,North Rhine-Westphalia
Friedrich Straetmanns,1961,The Left,North Rhine-Westphalia
Benjamin Strasser,1987,FDP,Baden-Württemberg
Max Straubinger,1954,CSU,Bavaria
Wolfgang Strengmann-Kuhn,1964,Greens,Hesse
Karin Strenz,1967,CDU,Mecklenburg-Vorpommern
Margit Stumpp,1963,Greens,Baden-Württemberg
Katja Suding,1975,FDP,Hamburg
Kerstin Tack,1968,SPD,Lower Saxony
Kirsten Tackmann,1960,The Left,Brandenburg
Jessica Tatti,1981,The Left,Baden-Württemberg
Peter Tauber,1974,CDU,Hesse
Claudia Tausend,1964,SPD,Bavaria
Hermann-Josef Tebroke,1964,CDU,North Rhine-Westphalia
Linda Teuteberg,1981,FDP,Brandenburg
Michael Theurer,1967,FDP,Baden-Württemberg
Michael Thews,1964,SPD,North Rhine-Westphalia
Hans-Jürgen Thies,1955,CDU,North Rhine-Westphalia
Stephan Thomae,1968,FDP,Bavaria
Alexander Throm,1968,CDU,Baden-Württemberg
Dietlind Tiemann,1955,CDU,Brandenburg
Antje Tillmann,1964,CDU,Thuringia
Manfred Todtenhausen,1950,FDP,North Rhine-Westphalia
Florian Toncar,1979,FDP,Baden-Württemberg
Markus Töns,1964,SPD,North Rhine-Westphalia
Carsten Träger,1973,SPD,Bavaria
Markus Tressel,1977,Greens,Saarland
Jürgen Trittin,1954,Greens,Lower Saxony
Markus Uhl],1979,CDU,Saarland
Andrew Ullmann,1963,FDP,Bavaria
Gerald Ullrich,1962,FDP,Thuringia
Volker Ullrich,1975,CSU,Bavaria
Alexander Ulrich,1971,The Left,Rhineland-Palatinate
Arnold Vaatz,1955,CDU,Saxony
Julia Verlinden,1979,Greens,Lower Saxony
Kerstin Vieregge,1976,CDU,North Rhine-Westphalia
Johannes Vogel,1982,FDP,North Rhine-Westphalia
Volkmar Vogel,1959,CDU,Thuringia
Kathrin Vogler,1963,The Left,North Rhine-Westphalia
Ute Vogt,1964,SPD,Baden-Württemberg
Marja-Liisa Völlers,1984,SPD,Lower Saxony
Dirk Vöpel,1971,SPD,North Rhine-Westphalia
Christoph de Vries,1974,CDU,Hamburg
Kees de Vries,1955,CDU,Saxony-Anhalt
Johann Wadephul,1963,CDU,Schleswig-Holstein
Sahra Wagenknecht,1969,The Left,North Rhine-Westphalia
Andreas Wagner (politician),1972,The Left,Bavaria
Daniela Wagner,1957,Greens,Hesse
Beate Walter-Rosenheimer,1964,Greens,Bavaria
Marco Wanderwitz,1975,CDU,Saxony
Nina Warken,1979,CDU,Baden-Württemberg
Gabi Weber,1955,SPD,Rhineland-Palatinate
Sandra Weeser,1969,FDP,Rhineland-Palatinate
Kai Wegner,1972,CDU,Berlin
Alice Weidel,1979,AfD,Baden-Württemberg
Albert Weiler,1965,CDU,Thuringia
Harald Weinberg,1957,The Left,Bavaria
Marcus Weinberg,1967,CDU,Hamburg
Joe Weingarten,1962,SPD,Rhineland-Palatinate
Anja Weisgerber,1976,CSU,Bavaria
Peter Weiß,1956,CDU,Baden-Württemberg
Sabine Weiss,1958,CDU,North Rhine-Westphalia
Ingo Wellenreuther,1959,CDU,Baden-Württemberg
Marian Wendt,1985,CDU,Saxony
Katrin Werner,1973,The Left,Rhineland-Palatinate
Nicole Westig,1967,FDP,North Rhine-Westphalia
Bernd Westphal,1960,SPD,Lower Saxony
Harald Weyel,1959,AfD,North Rhine-Westphalia
Kai Whittaker,1985,CDU,Baden-Württemberg
Annette Widmann-Mauz,1966,CDU,Baden-Württemberg
Wolfgang Wiehle,1964,AfD,Bavaria
Dirk Wiese,1983,SPD,North Rhine-Westphalia
Bettina Wiesmann,1966,CDU,Hesse
Heiko Wildberg,1952,AfD,Rhineland-Palatinate
Katharina Willkomm,1987,FDP,North Rhine-Westphalia
Klaus-Peter Willsch,1961,CDU,Hesse
Elisabeth Winkelmeier-Becker,1962,CDU,North Rhine-Westphalia
Christian Wirth,1963,AfD,Saarland
Uwe Witt,1959,AfD,North Rhine-Westphalia
Oliver Wittke,1966,CDU,North Rhine-Westphalia
Gülistan Yüksel,1962,SPD,North Rhine-Westphalia
Hubertus Zdebel,1954,The Left,North Rhine-Westphalia
Tobias Zech,1981,CSU,Bavaria
Emmi Zeulner,1987,CSU,Bavaria
Gerhard Zickenheiner,1961,Greens,Baden-Württemberg
Dagmar Ziegler,1960,SPD,Brandenburg
Paul Ziemiak,1985,CDU,North Rhine-Westphalia
Stefan Zierke,1970,SPD,Brandenburg
Matthias Zimmer,1961,CDU,Hesse
Jens Zimmermann,1981,SPD,Hesse
Pia Zimmermann,1956,The Left,Lower Saxony
Sabine Zimmermann (politician),1960,The Left,Saxony
Kerstin Andreae,1968[478],Greens,Baden-Württemberg
Katarina Barley,1968[479],SPD,Rhineland-Palatinate
Nicola Beer,1970[480],FDP,Hesse
Ralf Brauksiepe,1967[481],CDU,North Rhine-Westphalia
Bernd Klaus Buchholz,1961[482],FDP,Schleswig-Holstein
Martin Burkert,1964[483],SPD,Bavaria
Astrid Freudenstein,1973[485],CSU,Bavaria
Sigmar Gabriel,1959[487],SPD,Lower Saxony
Stephan Harbarth,1971[489],CDU,Baden-Württemberg
Eva Högl,1969,SPD,Berlin
Johannes Kahrs,1963,SPD,Hamburg
Ulrich Kelber,1968[493],SPD,North Rhine-Westphalia
Thomas Kemmerich,1965[495],FDP,Thuringia
Ursula von der Leyen,1958[496],CDU,Lower Saxony
Burkhard Lischka,1965[497],SPD,Saxony-Anhalt
Marlene Mortler,1955[498],CSU,Bavaria
Andrea Nahles,1970[500],SPD,Rhineland-Palatinate
Carola Reimann,1967[501],SPD,Lower Saxony
Stefan Ruppert,1971,FDP,Hesse
Gerhard Schick,1972[503],Greens,Baden-Württemberg
Jimmy Schulz,1968[504],FDP,Bavaria
Manja Schüle [de],1976[506],SPD,Brandenburg
Ewald Schurer,1954[508],SPD,Bayern
Michael Stübgen [de],1959[509],CDU,Brandenburg
Oswin Veith,1961,CDU,Hesse
